title,description,category,sub_category,priority
"Shortage of essential medicines at RIMS","Ranchi Institute of Medical Sciences emergency ward lacks basic antibiotic injections, IV fluids, and pediatric syrups forcing poor patients to buy from private stores.","Healthcare","Medical Supplies","HIGH"
"Non-functional ambulance in Latehar","The solitary government ambulance assigned to Latehar rural sub-division has been broken down for two months leaving remote pregnant women stranded.","Healthcare","Emergency Transport","HIGH"
"Dengue outbreak in Jamshedpur slums","Sudden surge in confirmed dengue and malaria cases across Kadma and Sonari slum clusters with zero municipal fogging or larvicide spraying conducted.","Healthcare","Disease Outbreak","HIGH"
"Lack of doctors in Gumla district hospital","Gumla district hospital has sanctioned 12 specialist doctors but only 2 general practitioners are attending outpatient departments serving 500 patients daily.","Healthcare","Staff Shortage","HIGH"
"Collapsed school roof in Jharia","Government primary school roof in Jharia coal belt partially collapsed during rains forcing 120 young students to sit under trees for daily classes.","Education","School Infrastructure","HIGH"
"No electricity or fans in rural school","Primary school in Torpa Khunti has had disconnected power lines for 6 months resulting in suffocating classrooms with temperature reaching 42 degrees.","Education","School Facilities","MEDIUM"
"Lack of science laboratory in college","Government Degree College in Chaibasa offers B.Sc courses without functional chemistry and physics lab equipment or chemical reagents.","Education","Higher Education","MEDIUM"
"Drinking water shortage in girls school","Kasturba Gandhi Balika Vidyalaya in Dumka lacks dedicated running water and sanitary facilities causing high dropout rates among adolescent girls.","Education","Sanitation in Schools","HIGH"
"Shortage of teachers in remote schools","Three tribal middle schools in Simdega district are operating with only one contractual teacher managing classes 1 through 8 simultaneously.","Education","Teacher Shortage","HIGH"
"Industrial effluents in Subarnarekha river","Multiple chemical and manufacturing units in Adityapur Industrial Area discharge toxic untreated red wastewater directly into Subarnarekha river.","Environment","Water Pollution","HIGH"
"Severe air pollution near Dhanbad coal mines","Coal dust from open-cast mines and unpaved haulage tracks in Dhanbad creates dense toxic smog triggering widespread respiratory illnesses and asthma.","Environment","Air Pollution","HIGH"
"Illegal timber logging in Saranda forest","Large scale deforestation and illegal felling of Sal trees observed deep inside Saranda forest reserve without forest ranger intervention.","Environment","Deforestation","HIGH"
"Toxic burning of e-waste in Ranchi outskirts","Informal scrap dealers regularly set fire to plastic wires and electronic waste on Ranchi ring road emitting thick carcinogenic black smoke.","Environment","Waste Burning","HIGH"
"Plastic waste choking Dalma sanctuary streams","Unregulated tourist dumping of plastic bottles, bags, and food wrappers is contaminating natural freshwater streams inside Dalma Wildlife Sanctuary.","Environment","Wildlife & Forest","MEDIUM"
"No street lights on Dimna Road","Dimna link road connecting Mango to NH-33 has 40 non-functioning street light poles turning a 3 km stretch pitch dark and accident-prone every night.","Electricity","Street Lights","MEDIUM"
"Frequent voltage fluctuations in Kanke","Unstable electricity supply with violent voltage surges is burning household appliances and pump motors across residential colonies in Kanke Ranchi.","Electricity","Voltage Fluctuation","MEDIUM"
"Low hanging high tension power cables","High tension 11kV electrical wire sagging dangerously just 7 feet above pedestrian pathway near rural school playground in Ramgarh.","Electricity","Electrical Hazard","HIGH"
"Repeated power cuts in Deoghar during festival","Deoghar temple town experiences 10 to 14 hours of unscheduled daily power outages causing immense distress to pilgrims and small businesses.","Electricity","Power Outages","HIGH"
"Damaged electricity transformer in rural village","Main village electrical transformer exploded 3 weeks ago in Ormanjhi block leaving 80 farming households in total darkness without power.","Electricity","Transformer Failure","HIGH"
"Irregular bus connectivity to Bokaro","Public bus service between Ranchi capital and Bokaro Steel City has become highly erratic with over half of scheduled buses cancelled without notice.","Transportation","Public Bus","MEDIUM"
"Lack of auto rickshaw regulation at railway station","Unregulated private auto drivers at Ranchi junction railway station overcharge passengers fivefold and engage in aggressive harassment.","Transportation","Traffic & Transport","LOW"
"Unsafe school vans operating without permits","Old overloaded commercial vans carrying 25 kindergarten children without seatbelts or speed governors operating daily across Jamshedpur roads.","Transportation","School Transport Safety","HIGH"
"Absence of bus stop shelter in monsoon","Daily commuters including elderly waiting for state transport buses at Birsa Chowk have no rain shelter or sitting benches exposed to storms.","Transportation","Transport Infrastructure","LOW"
"Frequent train delays on Ranchi Howrah route","Local passenger trains on Ranchi to Howrah rail corridor experience chronic 4-hour delays severely disrupting students and office commuters.","Transportation","Railway Transport","MEDIUM"
"Drought and lack of canal irrigation in Gumla","Farmers in Gumla district have suffered total paddy crop failure due to dry irrigation canals and lack of diesel subsidies for borewell water.","Agriculture","Irrigation","HIGH"
"Fall armyworm pest infestation in maize","Aggressive pest attack by fall armyworm destroying hundreds of acres of standing maize crops across Palamu district without subsidized pesticides.","Agriculture","Crop Disease & Pests","HIGH"
"Lack of cold storage for tomato farmers","Tomato growers in Ormanjhi Ranchi are forced into distress sales at 2 rupees per kg due to total absence of solar-powered local cold storage units.","Agriculture","Post-Harvest Storage","HIGH"
"Spurious seeds supplied to tribal farmers","Substandard hybrid paddy seeds distributed by local cooperative society failed to germinate causing financial ruin to 150 smallholder families.","Agriculture","Seeds & Fertilizers","HIGH"
"Soil erosion washing away fertile farmland","Flash rains and lack of contour check dams causing massive topsoil erosion across agricultural terraced fields in Simdega hills.","Agriculture","Soil Conservation","MEDIUM"
"Spike in chain snatching incidents near Ranchi station","Gang of motorcycle riders targeting women pedestrians in evening hours around Ranchi Station and Overbridge with inactive police CCTV.","Public Safety","Street Crime","HIGH"
"Illegal sand mining mafias operating on Damodar river","Heavily armed syndicates extracting illegal riverbed sand using mechanized excavators during midnight hours threatening riverbank stability.","Public Safety","Illegal Activities","HIGH"
"Lack of police patrolling in university area","Complete absence of women police personnel and street patrols around Ranchi University Morabadi campus after dark leading to harassment.","Public Safety","Women Safety","HIGH"
"Open abandoned mining pits without fencing","Unfenced deep open-cast coal mining water pits in Ramgarh have claimed lives of 3 children who accidentally slipped while grazing cattle.","Public Safety","Hazardous Sites","HIGH"
"Drunk driving accidents on Ring Road","Late night speeding trucks and drunk drivers on Ranchi Outer Ring Road cause fatal collisions weekly without any breathalyzer checkpoints.","Public Safety","Traffic Enforcement","HIGH"
